DATE|BALANCE_USDT|SYMBOL|ENTER_PRICE|TAKE_PROFIT|STOP_LOSS|CANDLE_LENGTH|TP_RATIO|SL_RATIO
2023-03-16 14:59:17.124485|20.65011891|RAD|1.787|1.837|1.776|1.06|0.026|0.008
2023-03-16 16:57:05.001951|20.34711891|BICO|0.427|0.438|0.423|1.06|0.026|0.008
2023-03-16 21:53:40.229952|20.11147006|MOVR|8.94|9.12|8.81|1.06|0.026|0.008
2023-03-16 21:59:36.735217|20.48298006|MOVR|9.09|9.31|9.0|1.06|0.026|0.008
2023-03-16 22:01:18.246549|20.06764006|MOVR|9.63|9.96|9.63|1.06|0.026|0.008
2023-03-16 22:09:54.128340|19.91479006|LOKA|0.55|0.5633|0.5447|1.06|0.026|0.008
2023-03-16 22:35:16.254268|19.67364006|ACA|0.1088|0.1117|0.108|1.06|0.026|0.008
